state;action_reward;n_state
1680&0|8874&0|11204&0|4870&0|3400&0|1484&0|10858&0|11223&0|11240&0|11203&0|11228&0|11216&0;6494&0|11249&1|1126&0|1733&0;1680&0|8874&0|11204&0|4870&0|3400&0|1484&0|10858&0|11223&0|11240&0|11203&0|11228&0|11216&0|6494&0|11249&1|1126&0|1733&0
28107&0|1183&0|5458&0|2662&0|18565&0|2722&0|19317&0|29975&0|2726&0|30063&0|1191&0|2122&0;1888&0|19863&0|3203&0|1493&0;28107&0|1183&0|5458&0|2662&0|18565&0|2722&0|19317&0|29975&0|2726&0|30063&0|1191&0|2122&0|1888&0|19863&0|3203&0|1493&0
4455&0|2882&0|21922&0|28018&0|3036&0|26963&0|11202&0|2983&0|13834&0|28011&0|4726&0|2952&0;28049&0|3002&0|4415&0|4420&0;4455&0|2882&0|21922&0|28018&0|3036&0|26963&0|11202&0|2983&0|13834&0|28011&0|4726&0|2952&0|28049&0|3002&0|4415&0|4420&0
18544&0|18569&0|18568&0|5314&0|2690&0|12016&0|11961&0|10865&0|18557&0|12003&0|18560&0|18549&0;18563&0|277&0|1908&1|10812&0;18544&0|18569&0|18568&0|5314&0|2690&0|12016&0|11961&0|10865&0|18557&0|12003&0|18560&0|18549&0|18563&0|277&0|1908&1|10812&0
8054&0|1126&0|1426&0|10929&0|2551&0|1366&0|3386&0|4430&0|1901&0|6353&0|11240&0|3080&0;1541&0|1381&0|6809&0|6809&0;8054&0|1126&0|1426&0|10929&0|2551&0|1366&0|3386&0|4430&0|1901&0|6353&0|11240&0|3080&0|1541&0|1381&0|6809&0|6809&0
2371&0|2215&1|2360&0|2242&0|2490&0|2334&0|2237&0|2356&0|2368&0|2413&0|2362&0|102&0;2448&0|2450&1|2445&0|2453&0;2371&0|2215&1|2360&0|2242&0|2490&0|2334&0|2237&0|2356&0|2368&0|2413&0|2362&0|102&0|2448&0|2450&1|2445&0|2453&0
19266&0|3388&0|394&0|6998&0|6062&0|3414&0|2241&0|549&0|4433&0|2219&0|8673&0|26683&0;24916&0|3131&0|8863&0|5722&0;19266&0|3388&0|394&0|6998&0|6062&0|3414&0|2241&0|549&0|4433&0|2219&0|8673&0|26683&0|24916&0|3131&0|8863&0|5722&0
3665&0|3745&0|3667&0|3410&0|3680&0|3752&0|1862&0|3676&0|3671&0|2348&0|3749&0|2252&0;3530&0|279&0|3787&0|588&0;3665&0|3745&0|3667&0|3410&0|3680&0|3752&0|1862&0|3676&0|3671&0|2348&0|3749&0|2252&0|3530&0|279&0|3787&0|588&0
14456&0|15538&0|8765&0|15509&0|15517&0|9868&0|8908&0|2866&0|3811&0|15557&0|11207&0|5741&0;861&0|15604&0|14895&1|15605&0;14456&0|15538&0|8765&0|15509&0|15517&0|9868&0|8908&0|2866&0|3811&0|15557&0|11207&0|5741&0|861&0|15604&0|14895&1|15605&0
24396&0|3465&0|7823&0|10675&0|25614&0|25582&0|2157&0|20247&0|17423&0|4458&0|4823&0|933&0;25634&0|24443&0|8261&0|8222&0;24396&0|3465&0|7823&0|10675&0|25614&0|25582&0|2157&0|20247&0|17423&0|4458&0|4823&0|933&0|25634&0|24443&0|8261&0|8222&0
52&0|7786&0|1310&0|4865&0|4765&0|636&0|4755&0|11394&0|4773&0|1809&1|11392&0|1563&0;5232&0|5292&0|4883&0|636&0;52&0|7786&0|1310&0|4865&0|4765&0|636&0|4755&0|11394&0|4773&0|1809&1|11392&0|1563&0|5232&0|5292&0|4883&0|636&0
7371&0|29502&0|32171&0|11693&0|15918&0|4749&0|282&0|32146&0|32168&0|29528&0|6467&0|21&0;29103&0|32169&0|10043&1|22979&0;7371&0|29502&0|32171&0|11693&0|15918&0|4749&0|282&0|32146&0|32168&0|29528&0|6467&0|21&0|29103&0|32169&0|10043&1|22979&0
745&0|11520&0|350&0|19682&0|2273&0|22351&0|25665&0|25714&0|25707&0|25701&0|5700&0|5805&0;2094&0|3838&0|2014&0|25712&0;745&0|11520&0|350&0|19682&0|2273&0|22351&0|25665&0|25714&0|25707&0|25701&0|5700&0|5805&0|2094&0|3838&0|2014&0|25712&0
1384&0|6086&0|14569&0|24477&0|11964&0|2240&0|24462&0|24473&0|12667&0|4743&0|2237&0|10708&0;3778&0|8814&0|2162&0|24489&0;1384&0|6086&0|14569&0|24477&0|11964&0|2240&0|24462&0|24473&0|12667&0|4743&0|2237&0|10708&0|3778&0|8814&0|2162&0|24489&0
10207&0|8662&0|8423&0|13677&0|2871&0|3739&1|4785&0|8525&0|13681&0|8526&0|12673&0|8522&0;8625&0|6276&0|12842&0|1664&0;10207&0|8662&0|8423&0|13677&0|2871&0|3739&1|4785&0|8525&0|13681&0|8526&0|12673&0|8522&0|8625&0|6276&0|12842&0|1664&0
16441&0|3825&0|8720&0|1889&0|3565&0|14906&0|10925&0|14559&0|15513&0|26062&0|5976&0|7097&0;7105&0|28942&0|28941&0|17654&0;16441&0|3825&0|8720&0|1889&0|3565&0|14906&0|10925&0|14559&0|15513&0|26062&0|5976&0|7097&0|7105&0|28942&0|28941&0|17654&0
1142&0|8018&0|13550&0|20297&0|711&0|20343&0|8080&0|20256&0|20328&0|934&0|5763&0|11819&0;1107&0|743&0|20390&0|8228&0;1142&0|8018&0|13550&0|20297&0|711&0|20343&0|8080&0|20256&0|20328&0|934&0|5763&0|11819&0|1107&0|743&0|20390&0|8228&0
1023&0|426&0|28588&0|12278&0|456&0|27677&0|28495&0|381&0|25897&0|8149&0|1845&0|14851&0;28625&0|17513&0|2553&0|28638&0;1023&0|426&0|28588&0|12278&0|456&0|27677&0|28495&0|381&0|25897&0|8149&0|1845&0|14851&0|28625&0|17513&0|2553&0|28638&0
2592&0|4788&0|8433&0|8582&0|6230&0|12635&0|8517&0|1874&0|1512&0|12814&0|8565&0|8522&0;8599&0|12914&0|12957&0|12910&0;2592&0|4788&0|8433&0|8582&0|6230&0|12635&0|8517&0|1874&0|1512&0|12814&0|8565&0|8522&0|8599&0|12914&0|12957&0|12910&0
8069&0|14409&0|30521&0|30489&0|472&0|15389&0|30563&0|11786&0|7966&0|1159&0|13925&0|347&0;19224&0|30558&0|22375&0|11825&0;8069&0|14409&0|30521&0|30489&0|472&0|15389&0|30563&0|11786&0|7966&0|1159&0|13925&0|347&0|19224&0|30558&0|22375&0|11825&0
320&0|15274&0|17601&0|12080&0|22172&0|1831&0|22094&0|13171&0|1361&0|1279&0|16313&0|2724&0;1471&0|16668&0|16464&0|16463&0;320&0|15274&0|17601&0|12080&0|22172&0|1831&0|22094&0|13171&0|1361&0|1279&0|16313&0|2724&0|1471&0|16668&0|16464&0|16463&0
9215&1|103&0|9220&0|9207&0|9240&0|9217&0|9237&0|9202&0|1135&0|177&0|9125&0|92&1;9192&0|9189&0|9179&0|9176&0;9215&1|103&0|9220&0|9207&0|9240&0|9217&0|9237&0|9202&0|1135&0|177&0|9125&0|92&1|9192&0|9189&0|9179&0|9176&0
175&0|2213&0|1664&0|6898&0|166&0|11670&0|2242&0|3752&0|1455&0|29872&1|9793&0|29881&1;7739&0|26567&0|29887&0|6280&0;175&0|2213&0|1664&0|6898&0|166&0|11670&0|2242&0|3752&0|1455&0|29872&1|9793&0|29881&1|7739&0|26567&0|29887&0|6280&0
6983&0|11491&0|23694&0|23216&0|4575&0|23583&0|23579&0|11309&0|23885&0|23679&0|23879&0|4471&0;4636&0|475&0|23740&0|23803&0;6983&0|11491&0|23694&0|23216&0|4575&0|23583&0|23579&0|11309&0|23885&0|23679&0|23879&0|4471&0|4636&0|475&0|23740&0|23803&0
4460&0|4537&0|4616&0|4509&0|4558&0|4469&0|4598&0|4461&0|4650&0|4538&0|4512&0|1168&0;4670&0|4634&0|4640&0|3546&0;4460&0|4537&0|4616&0|4509&0|4558&0|4469&0|4598&0|4461&0|4650&0|4538&0|4512&0|1168&0|4670&0|4634&0|4640&0|3546&0
3305&0|6789&0|24549&0|1853&0|2860&0|24538&0|10960&0|3003&0|10208&0|24533&0|24575&1|2963&0;3342&0|8614&0|16561&0|2167&0;3305&0|6789&0|24549&0|1853&0|2860&0|24538&0|10960&0|3003&0|10208&0|24533&0|24575&1|2963&0|3342&0|8614&0|16561&0|2167&0
3660&0|1895&0|3409&0|4728&0|6207&0|13677&0|6632&0|3802&0|11044&0|31707&0|8366&0|5936&0;3639&1|10683&0|31710&0|3769&0;3660&0|1895&0|3409&0|4728&0|6207&0|13677&0|6632&0|3802&0|11044&0|31707&0|8366&0|5936&0|3639&1|10683&0|31710&0|3769&0
1243&0|1809&0|1589&0|18824&0|10581&0|25031&0|822&0|25793&0|1402&0|7229&0|25734&0|9067&0;20133&0|1285&0|20715&1|1435&0;1243&0|1809&0|1589&0|18824&0|10581&0|25031&0|822&0|25793&0|1402&0|7229&0|25734&0|9067&0|20133&0|1285&0|20715&1|1435&0
7039&0|9049&0|5225&0|4385&0|13585&0|5771&0|13630&0|13579&0|13604&0|6042&0|7887&0|3842&0;13665&0|13662&0|12989&0|4445&0;7039&0|9049&0|5225&0|4385&0|13585&0|5771&0|13630&0|13579&0|13604&0|6042&0|7887&0|3842&0|13665&0|13662&0|12989&0|4445&0
5967&0|10659&0|9658&0|6317&0|6298&1|14599&0|24607&0|8212&0|15943&0|3725&0|1160&0|15469&0;25086&0|15482&0|25081&0|25080&0;5967&0|10659&0|9658&0|6317&0|6298&1|14599&0|24607&0|8212&0|15943&0|3725&0|1160&0|15469&0|25086&0|15482&0|25081&0|25080&0
4465&0|5456&0|11136&0|9324&0|11055&0|11143&0|9355&0|10659&0|429&0|11064&0|11082&0|4466&0;11196&0|8710&0|11182&0|11171&1;4465&0|5456&0|11136&0|9324&0|11055&0|11143&0|9355&0|10659&0|429&0|11064&0|11082&0|4466&0|11196&0|8710&0|11182&0|11171&1
10356&0|16627&0|1840&0|5468&0|16629&0|2704&0|2218&0|1208&0|6539&0|16630&0|10560&0|1183&0;1466&0|12819&0|14608&0|5593&0;10356&0|16627&0|1840&0|5468&0|16629&0|2704&0|2218&0|1208&0|6539&0|16630&0|10560&0|1183&0|1466&0|12819&0|14608&0|5593&0
7799&0|4492&0|4692&0|1469&0|3469&0|9315&0|449&0|15743&0|17441&0|17336&0|17419&0|4630&0;7872&0|2047&0|6576&0|17403&0;7799&0|4492&0|4692&0|1469&0|3469&0|9315&0|449&0|15743&0|17441&0|17336&0|17419&0|4630&0|7872&0|2047&0|6576&0|17403&0
7671&0|8953&0|962&0|4167&0|8966&0|718&0|9011&0|8947&0|97&0|5839&0|142&0|9004&0;181&0|2553&0|937&0|9046&0;7671&0|8953&0|962&0|4167&0|8966&0|718&0|9011&0|8947&0|97&0|5839&0|142&0|9004&0|181&0|2553&0|937&0|9046&0
17120&0|10343&0|4748&0|2412&0|2878&0|11236&0|13015&0|2838&0|17093&0|13404&0|17181&0|17077&0;2927&0|2390&0|17255&0|17256&0;17120&0|10343&0|4748&0|2412&0|2878&0|11236&0|13015&0|2838&0|17093&0|13404&0|17181&0|17077&0|2927&0|2390&0|17255&0|17256&0
15844&0|8211&0|24339&0|17381&0|24378&0|21788&0|11116&0|3482&0|934&0|926&0|24307&0|19461&0;7879&0|24448&0|4600&0|20376&0;15844&0|8211&0|24339&0|17381&0|24378&0|21788&0|11116&0|3482&0|934&0|926&0|24307&0|19461&0|7879&0|24448&0|4600&0|20376&0
986&0|5991&0|18915&1|4001&1|3927&1|1142&1|9960&1|3887&1|9544&0|3962&1|3980&1|516&0;943&0|9847&0|19917&0|13916&0;986&0|5991&0|18915&1|4001&1|3927&1|1142&1|9960&1|3887&1|9544&0|3962&1|3980&1|516&0|943&0|9847&0|19917&0|13916&0
1855&0|7839&0|761&0|7250&0|1903&0|1756&0|7721&0|6953&0|9301&0|1043&0|32495&0|1871&1;1674&0|7755&0|32510&0|29260&0;1855&0|7839&0|761&0|7250&0|1903&0|1756&0|7721&0|6953&0|9301&0|1043&0|32495&0|1871&1|1674&0|7755&0|32510&0|29260&0
16307&0|5291&0|13810&0|3385&0|1153&0|4682&0|3424&0|8720&0|9749&0|6281&0|779&0|7108&0;2584&0|3608&0|1631&0|3646&0;16307&0|5291&0|13810&0|3385&0|1153&0|4682&0|3424&0|8720&0|9749&0|6281&0|779&0|7108&0|2584&0|3608&0|1631&0|3646&0
6242&0|1583&0|6220&0|2685&0|1580&0|6232&0|6251&0|6228&0|6219&0|6222&0|6247&0|6255&0;3713&0|6283&0|6266&0|6287&0;6242&0|1583&0|6220&0|2685&0|1580&0|6232&0|6251&0|6228&0|6219&0|6222&0|6247&0|6255&0|3713&0|6283&0|6266&0|6287&0
1356&0|1910&0|10366&0|11861&0|4401&0|3013&0|3723&0|8414&0|7001&0|1259&0|729&0|5120&0;7001&0|2076&0|1449&0|810&0;1356&0|1910&0|10366&0|11861&0|4401&0|3013&0|3723&0|8414&0|7001&0|1259&0|729&0|5120&0|7001&0|2076&0|1449&0|810&0
28950&0|10788&0|29137&0|18751&0|13986&0|29117&0|11771&0|29167&0|11361&0|9865&0|20472&0|13900&0;14010&0|6063&0|29212&0|23851&0;28950&0|10788&0|29137&0|18751&0|13986&0|29117&0|11771&0|29167&0|11361&0|9865&0|20472&0|13900&0|14010&0|6063&0|29212&0|23851&0
13787&0|20921&0|10203&0|3218&0|814&0|157&0|30050&0|1438&0|1506&0|16635&0|15466&0|14799&0;1440&0|26736&0|30123&0|20432&0;13787&0|20921&0|10203&0|3218&0|814&0|157&0|30050&0|1438&0|1506&0|16635&0|15466&0|14799&0|1440&0|26736&0|30123&0|20432&0
7823&0|14415&0|14430&0|4028&0|14412&0|3377&0|3866&0|199&0|7578&0|14417&0|175&0|1023&0;869&0|3672&0|1038&0|4273&0;7823&0|14415&0|14430&0|4028&0|14412&0|3377&0|3866&0|199&0|7578&0|14417&0|175&0|1023&0|869&0|3672&0|1038&0|4273&0
21519&0|27434&0|6133&0|27412&0|8401&0|19780&0|26629&0|27444&0|27418&0|1279&0|784&0|1868&0;27450&0|21522&0|7244&0|6040&0;21519&0|27434&0|6133&0|27412&0|8401&0|19780&0|26629&0|27444&0|27418&0|1279&0|784&0|1868&0|27450&0|21522&0|7244&0|6040&0
6294&1|11711&0|11735&1|11775&1|11692&0|11801&1|11778&1|11751&0|9137&1|9683&0|11705&0|11721&1;11848&0|138&0|11815&1|6313&1;6294&1|11711&0|11735&1|11775&1|11692&0|11801&1|11778&1|11751&0|9137&1|9683&0|11705&0|11721&1|11848&0|138&0|11815&1|6313&1
11991&0|24795&0|24821&0|24807&0|12012&0|1635&0|5717&0|16513&0|3480&0|24844&0|2102&0|2703&0;24846&0|5520&0|5488&0|18604&0;11991&0|24795&0|24821&0|24807&0|12012&0|1635&0|5717&0|16513&0|3480&0|24844&0|2102&0|2703&0|24846&0|5520&0|5488&0|18604&0
17579&0|21938&0|6556&0|2368&0|6541&0|30638&0|30646&0|18716&0|11007&0|13813&0|10986&0|533&0;1770&0|1517&0|3777&0|30667&0;17579&0|21938&0|6556&0|2368&0|6541&0|30638&0|30646&0|18716&0|11007&0|13813&0|10986&0|533&0|1770&0|1517&0|3777&0|30667&0
4362&0|4382&0|4403&0|4411&0|4440&0|1563&0|4445&0|1603&0|4391&0|4370&0|4417&0|4413&0;1624&0|4431&0|2959&0|4434&0;4362&0|4382&0|4403&0|4411&0|4440&0|1563&0|4445&0|1603&0|4391&0|4370&0|4417&0|4413&0|1624&0|4431&0|2959&0|4434&0
25924&0|585&0|25942&0|8762&0|25935&0|12379&0|22517&0|472&0|19171&0|822&0|4672&0|25937&0;16182&0|25954&0|26022&0|838&0;25924&0|585&0|25942&0|8762&0|25935&0|12379&0|22517&0|472&0|19171&0|822&0|4672&0|25937&0|16182&0|25954&0|26022&0|838&0
