state;action_reward;n_state
1989&0|1939&0|1980&0|537&0|2049&0|1830&0|805&0|2019&0|2033&0|1992&0|1918&0|2043&0;2071&0|1435&0|2088&0|2062&0;1989&0|1939&0|1980&0|537&0|2049&0|1830&0|805&0|2019&0|2033&0|1992&0|1918&0|2043&0|2071&0|1435&0|2088&0|2062&0
1183&0|5611&0|4451&0|2920&0|2920&0|11969&0|6736&0|3317&0|6360&0|13487&0|11903&0|2677&0;23293&0|3148&0|10150&0|2610&0;1183&0|5611&0|4451&0|2920&0|2920&0|11969&0|6736&0|3317&0|6360&0|13487&0|11903&0|2677&0|23293&0|3148&0|10150&0|2610&0
17177&0|10676&0|7244&0|1399&0|5359&0|31369&0|31439&0|10629&0|5520&0|16651&0|2838&0|31393&0;8787&0|4780&0|22803&0|12950&0;17177&0|10676&0|7244&0|1399&0|5359&0|31369&0|31439&0|10629&0|5520&0|16651&0|2838&0|31393&0|8787&0|4780&0|22803&0|12950&0
3437&0|9737&0|29404&0|10660&0|29431&0|29419&0|7923&0|126&0|5851&0|3443&0|611&0|7673&0;7872&0|15426&0|29425&0|13571&0;3437&0|9737&0|29404&0|10660&0|29431&0|29419&0|7923&0|126&0|5851&0|3443&0|611&0|7673&0|7872&0|15426&0|29425&0|13571&0
2071&0|16690&0|20471&0|20584&0|13279&0|12817&0|183&0|2395&0|1847&0|5622&0|762&0|20493&0;20659&0|20682&0|4029&0|20664&0;2071&0|16690&0|20471&0|20584&0|13279&0|12817&0|183&0|2395&0|1847&0|5622&0|762&0|20493&0|20659&0|20682&0|4029&0|20664&0
19112&0|26891&0|19087&0|3337&0|7341&0|7255&0|3800&0|1970&0|1426&0|7079&1|7001&0|26894&0;1902&0|2234&0|3772&0|2160&0;19112&0|26891&0|19087&0|3337&0|7341&0|7255&0|3800&0|1970&0|1426&0|7079&1|7001&0|26894&0|1902&0|2234&0|3772&0|2160&0
3624&0|8414&0|10850&0|10701&0|8603&0|13383&0|20101&1|9262&0|6227&0|5561&0|10770&0|8806&0;8564&0|8573&1|14797&0|3647&0;3624&0|8414&0|10850&0|10701&0|8603&0|13383&0|20101&1|9262&0|6227&0|5561&0|10770&0|8806&0|8564&0|8573&1|14797&0|3647&0
24741&0|7028&0|7922&0|24762&0|1506&0|24745&0|9146&0|1778&0|6614&0|20585&0|24761&0|9055&0;24778&1|24786&0|24771&0|24769&0;24741&0|7028&0|7922&0|24762&0|1506&0|24745&0|9146&0|1778&0|6614&0|20585&0|24761&0|9055&0|24778&1|24786&0|24771&0|24769&0
2412&0|17871&0|26291&0|278&0|30976&0|21072&0|1124&0|438&0|31060&0|746&0|638&0|31141&0;15179&0|31299&0|31289&0|31174&0;2412&0|17871&0|26291&0|278&0|30976&0|21072&0|1124&0|438&0|31060&0|746&0|638&0|31141&0|15179&0|31299&0|31289&0|31174&0
7669&0|4494&0|4659&0|7714&0|265&0|890&0|6992&0|7695&0|6037&1|7663&0|2090&0|7152&0;7736&0|7753&0|7759&0|7762&0;7669&0|4494&0|4659&0|7714&0|265&0|890&0|6992&0|7695&0|6037&1|7663&0|2090&0|7152&0|7736&0|7753&0|7759&0|7762&0
7057&0|21003&0|21009&0|6810&0|3385&1|21003&0|21005&1|916&0|10850&0|7065&0|528&0|9529&0;3713&1|7075&1|13688&1|6277&0;7057&0|21003&0|21009&0|6810&0|3385&1|21003&0|21005&1|916&0|10850&0|7065&0|528&0|9529&0|3713&1|7075&1|13688&1|6277&0
15769&0|1256&0|9634&0|15795&0|520&0|690&0|3439&0|15754&0|15729&0|15724&0|385&0|6545&0;2355&0|855&0|6784&0|15844&0;15769&0|1256&0|9634&0|15795&0|520&0|690&0|3439&0|15754&0|15729&0|15724&0|385&0|6545&0|2355&0|855&0|6784&0|15844&0
9073&0|9082&0|988&0|1290&0|2258&0|9090&0|9050&0|3692&0|3701&0|9079&0|9098&0|9069&0;9094&0|8873&0|3255&0|9091&0;9073&0|9082&0|988&0|1290&0|2258&0|9090&0|9050&0|3692&0|3701&0|9079&0|9098&0|9069&0|9094&0|8873&0|3255&0|9091&0
20432&0|2611&0|6771&0|7960&0|1&0|6734&0|848&0|9648&0|29326&0|1030&0|29324&0|24765&0;29341&0|17505&0|821&0|6752&0;20432&0|2611&0|6771&0|7960&0|1&0|6734&0|848&0|9648&0|29326&0|1030&0|29324&0|24765&0|29341&0|17505&0|821&0|6752&0
25264&0|10659&0|32073&0|20341&0|10031&0|3447&0|24377&0|15627&0|1018&0|4615&0|39&0|3547&0;4677&0|3493&0|2097&0|9042&0;25264&0|10659&0|32073&0|20341&0|10031&0|3447&0|24377&0|15627&0|1018&0|4615&0|39&0|3547&0|4677&0|3493&0|2097&0|9042&0
7181&0|7175&0|1970&0|7137&0|7240&0|7170&0|3420&0|7232&0|7166&0|1911&0|7233&0|7159&0;7227&0|7225&0|1291&0|1296&0;7181&0|7175&0|1970&0|7137&0|7240&0|7170&0|3420&0|7232&0|7166&0|1911&0|7233&0|7159&0|7227&0|7225&0|1291&0|1296&0
9489&0|575&0|19449&0|10969&0|11563&0|19361&0|7116&0|19394&0|17353&0|7042&0|8680&0|7029&0;3374&0|17031&0|16415&0|10438&0;9489&0|575&0|19449&0|10969&0|11563&0|19361&0|7116&0|19394&0|17353&0|7042&0|8680&0|7029&0|3374&0|17031&0|16415&0|10438&0
2023&0|1567&0|10535&0|6793&0|11941&0|549&0|15719&0|15691&0|3452&0|10535&0|1208&0|15689&0;15713&0|6836&0|2584&0|5643&0;2023&0|1567&0|10535&0|6793&0|11941&0|549&0|15719&0|15691&0|3452&0|10535&0|1208&0|15689&0|15713&0|6836&0|2584&0|5643&0
11322&0|11291&0|627&0|4466&0|7402&0|11370&0|11327&0|11314&0|4131&0|1912&0|9357&0|9531&0;7551&0|4291&0|4321&0|4487&1;11322&0|11291&0|627&0|4466&0|7402&0|11370&0|11327&0|11314&0|4131&0|1912&0|9357&0|9531&0|7551&0|4291&0|4321&0|4487&1
11321&0|1805&0|9295&0|7302&0|7386&0|6433&0|568&0|4458&0|56&0|11760&0|7442&0|5789&0;14387&0|14383&0|14380&0|6479&0;11321&0|1805&0|9295&0|7302&0|7386&0|6433&0|568&0|4458&0|56&0|11760&0|7442&0|5789&0|14387&0|14383&0|14380&0|6479&0
1021&0|8078&0|2187&1|3499&0|516&0|827&0|28375&0|15881&0|6446&0|2000&0|28382&0|958&0;28423&0|17501&0|11628&0|15194&0;1021&0|8078&0|2187&1|3499&0|516&0|827&0|28375&0|15881&0|6446&0|2000&0|28382&0|958&0|28423&0|17501&0|11628&0|15194&0
18670&0|18613&0|18611&0|3169&0|18614&0|3093&0|3264&0|17223&0|4755&0|3776&0|18589&0|13380&0;1677&0|2147&0|5688&0|1847&0;18670&0|18613&0|18611&0|3169&0|18614&0|3093&0|3264&0|17223&0|4755&0|3776&0|18589&0|13380&0|1677&0|2147&0|5688&0|1847&0
5084&0|1257&0|3813&0|10992&0|11910&0|5257&0|31820&0|5465&0|13480&0|5440&0|1126&0|21936&0;1199&0|10777&0|31861&0|2154&0;5084&0|1257&0|3813&0|10992&0|11910&0|5257&0|31820&0|5465&0|13480&0|5440&0|1126&0|21936&0|1199&0|10777&0|31861&0|2154&0
3797&0|8501&0|21733&0|149&0|14744&0|17244&0|21738&0|21756&0|21720&0|21742&0|17138&0|21762&0;21776&0|21775&1|21764&0|20027&0;3797&0|8501&0|21733&0|149&0|14744&0|17244&0|21738&0|21756&0|21720&0|21742&0|17138&0|21762&0|21776&0|21775&1|21764&0|20027&0
9295&0|2237&0|13101&0|11369&0|22889&0|3481&0|813&0|22764&0|285&0|556&0|531&0|19032&0;3235&0|31581&0|20746&0|31573&0;9295&0|2237&0|13101&0|11369&0|22889&0|3481&0|813&0|22764&0|285&0|556&0|531&0|19032&0|3235&0|31581&0|20746&0|31573&0
1661&0|1233&0|1351&0|1558&0|1631&0|1532&0|1343&0|1539&0|1491&0|1186&0|1456&0|1439&0;1771&0|1767&0|1762&0|1729&0;1661&0|1233&0|1351&0|1558&0|1631&0|1532&0|1343&0|1539&0|1491&0|1186&0|1456&0|1439&0|1771&0|1767&0|1762&0|1729&0
8962&0|28084&0|29456&1|29443&0|23901&0|29505&0|1011&0|6415&0|3887&0|29498&0|25228&0|1117&0;27853&0|7045&0|1070&0|29531&0;8962&0|28084&0|29456&1|29443&0|23901&0|29505&0|1011&0|6415&0|3887&0|29498&0|25228&0|1117&0|27853&0|7045&0|1070&0|29531&0
13437&0|24135&0|10998&0|3421&0|3755&1|31675&1|26720&0|8365&0|12766&0|5181&1|15943&0|10249&0;3490&0|8573&1|10998&0|11044&0;13437&0|24135&0|10998&0|3421&0|3755&1|31675&1|26720&0|8365&0|12766&0|5181&1|15943&0|10249&0|3490&0|8573&1|10998&0|11044&0
13150&0|22123&0|5057&0|22256&0|1447&0|1888&0|22255&0|7775&0|18654&0|5423&0|22263&0|22272&0;5684&0|22283&0|18673&0|22290&0;13150&0|22123&0|5057&0|22256&0|1447&0|1888&0|22255&0|7775&0|18654&0|5423&0|22263&0|22272&0|5684&0|22283&0|18673&0|22290&0
13665&0|11919&1|2393&0|3723&0|7488&0|4607&0|10672&0|261&0|13924&0|3885&1|857&0|3933&0;5236&0|3769&1|11343&0|4510&0;13665&0|11919&1|2393&0|3723&0|7488&0|4607&0|10672&0|261&0|13924&0|3885&1|857&0|3933&0|5236&0|3769&1|11343&0|4510&0
11268&0|18500&0|7664&0|5228&0|19618&0|23220&0|6059&0|9602&0|735&0|21559&0|17306&0|27475&0;27560&0|19893&0|764&0|21673&0;11268&0|18500&0|7664&0|5228&0|19618&0|23220&0|6059&0|9602&0|735&0|21559&0|17306&0|27475&0|27560&0|19893&0|764&0|21673&0
23917&0|1262&0|23931&0|5374&0|16981&0|22133&0|23959&0|1954&0|11238&0|4372&0|17596&0|19977&0;2494&0|23973&0|2065&0|2129&0;23917&0|1262&0|23931&0|5374&0|16981&0|22133&0|23959&0|1954&0|11238&0|4372&0|17596&0|19977&0|2494&0|23973&0|2065&0|2129&0
2763&0|24291&1|21014&0|1528&1|3386&0|26862&0|3314&0|1809&0|1915&0|8536&1|1395&0|3422&1;1528&0|1891&0|3287&0|3728&1;2763&0|24291&1|21014&0|1528&1|3386&0|26862&0|3314&0|1809&0|1915&0|8536&1|1395&0|3422&1|1528&0|1891&0|3287&0|3728&1
1827&0|5717&0|2008&0|1664&0|2909&0|26049&0|7271&0|30016&0|7473&0|1305&0|784&0|4381&0;9272&1|1268&0|5593&1|13492&0;1827&0|5717&0|2008&0|1664&0|2909&0|26049&0|7271&0|30016&0|7473&0|1305&0|784&0|4381&0|9272&1|1268&0|5593&1|13492&0
32325&0|32286&0|32292&0|10766&0|32289&0|10732&0|15711&0|10466&0|32344&0|2111&0|32346&0|2035&0;10947&0|4841&0|2091&0|10220&0;32325&0|32286&0|32292&0|10766&0|32289&0|10732&0|15711&0|10466&0|32344&0|2111&0|32346&0|2035&0|10947&0|4841&0|2091&0|10220&0
5237&0|988&0|5854&0|7250&0|45&0|21628&0|7362&0|9768&0|12337&0|14652&0|6298&0|14952&0;9502&0|7411&0|608&0|9657&0;5237&0|988&0|5854&0|7250&0|45&0|21628&0|7362&0|9768&0|12337&0|14652&0|6298&0|14952&0|9502&0|7411&0|608&0|9657&0
